sigma,L,A,B,C,minA,minB,minC,maxA,maxB,maxC
1.0,15,25.39032143355406,27.087102447377344,25.89534245384388,15.00961658525642,22.040436985718635,17.221560082031047,39.83310936674525,34.08299216006993,32.384504178671094
1.5,20,24.59700229859384,21.94636664982216,22.386897103113775,15.944462233006545,0.0,16.624396656588914,45.278564779414346,41.02819088484175,37.24527102822793
1.0,20,24.51014396376832,26.937952939552655,25.42623465864674,17.87367247667155,18.170721244619227,22.11251791673239,33.84301511023585,36.75137354895403,32.56189150984837
0.5,20,26.51510628261936,27.895205109213595,27.870433686660636,21.258249462773414,22.75111189850368,22.89349942144829,30.75322711797739,33.0529673839365,31.660142998650198
1.0,25,22.32645351046645,25.104215093000448,26.264552234305665,15.080317804734834,15.81108426378365,17.85827108455441,25.389677158853747,35.800162119364586,34.25867397461773
